N,random,reverse,almost
500,33,20,16
1000,75,52,38
1500,124,76,62
2000,179,103,82
2500,233,131,110
3000,280,165,129
3500,339,230,149
4000,401,226,182
4500,457,247,235
5000,539,281,231
5500,565,326,267
6000,622,364,275
6500,686,421,313
7000,747,452,314
7500,724,465,328
8000,847,492,402
8500,902,504,444
9000,999,530,454
9500,1029,568,487
10000,1088,656,544
10500,1116,631,544
11000,1215,695,555
11500,1275,758,576
12000,1340,793,639
12500,1409,838,603
13000,1412,821,664
13500,1517,877,708
14000,1578,937,725
14500,1628,1009,670
15000,1666,1013,780
15500,1791,1091,784
16000,1954,1034,870
16500,2020,1130,914
17000,2016,1140,934
17500,2166,1064,921
18000,2049,1150,1010
18500,2174,1253,1091
19000,2255,1291,1050
19500,2234,1264,1059
20000,2392,1316,1099
20500,2453,1262,1103
21000,2469,1401,1200
21500,2582,1452,1193
22000,2594,1437,1221
22500,2711,1504,1318
23000,2811,1557,1319
23500,2862,1601,1358
24000,2928,1548,1275
24500,2862,1672,1336
25000,3003,1673,1339
25500,3077,1856,1355
26000,3157,1715,1395
26500,3248,1857,1516
27000,3274,1811,1431
27500,3345,1947,1490
28000,3406,1959,1505
28500,3482,2022,1550
29000,3435,2095,1567
29500,3622,2168,1631
30000,3571,2186,1680
30500,3727,2121,1644
31000,3904,2231,1826
31500,3900,2230,1922
32000,4050,2231,1767
32500,4035,2237,2032
33000,4241,2242,1957
33500,4311,2300,1964
34000,4260,2327,2051
34500,4196,2384,2108
35000,4423,2339,2029
35500,4552,2542,2078
36000,5697,2583,2186
36500,4731,5562,3162
37000,7196,5356,2279
37500,4832,2647,2428
38000,4940,2625,2407
38500,5025,2758,2350
39000,5071,2728,2278
39500,5027,2738,2436
40000,5047,2826,2630
40500,5028,2865,2559
41000,5201,2899,2524
41500,5385,3011,2544
42000,5520,2972,2529
42500,5493,3144,2489
43000,5559,3050,2620
43500,5465,3131,2723
44000,5582,3179,2638
44500,5720,3069,2607
45000,5664,3235,2776
45500,5853,3296,2783
46000,5910,3358,2713
46500,6059,3303,2829
47000,6261,3625,2956
47500,6265,3447,3015
48000,6280,3517,2842
48500,6225,3507,2910
49000,6266,3559,2954
49500,6366,3705,3065
50000,6404,3689,2995
50500,6640,3747,3062
51000,6705,3780,3048
51500,6458,3792,3258
52000,6601,3960,3068
52500,6544,4019,3171
53000,6711,3988,3219
53500,6885,4046,3242
54000,7111,4288,3263
54500,7048,4246,3228
55000,7331,4359,3257
55500,7097,4221,3291
56000,7342,4315,3373
56500,7256,4347,3220
57000,7327,4455,3352
57500,7482,4433,3368
58000,7676,4418,3499
58500,7657,4577,3429
59000,7629,4548,3522
59500,7624,4866,3502
60000,7891,4766,3595
60500,7769,4667,3548
61000,7849,4875,3498
61500,8029,4665,3725
62000,8081,4952,4184
62500,8397,4903,3751
63000,8269,4895,4028
63500,8282,4811,4056
64000,8426,4847,3915
64500,8597,4884,4147
65000,8506,4781,4243
65500,8705,4806,4225
66000,8872,4870,4177
66500,8989,4816,4603
67000,9137,4873,4536
67500,8985,4998,4554
68000,9180,4815,4387
68500,9353,5001,4430
69000,9232,5064,4515
69500,9394,5134,4604
70000,9216,5055,4424
70500,9523,5157,4436
71000,9744,5208,4567
71500,9486,5300,4838
72000,9640,5263,4599
72500,9893,5302,4743
73000,10000,5971,5222
73500,10198,5270,4918
74000,10100,5608,4732
74500,9862,5623,4741
75000,9998,5581,4975
75500,10140,5651,4849
76000,10280,5767,4827
76500,10297,5657,5130
77000,10339,5742,5258
77500,10304,5843,9649
78000,13015,5900,4988
78500,10745,6103,5061
79000,10721,5891,5460
79500,10814,6001,5172
80000,11016,6023,5004
80500,10839,6095,5244
81000,11035,6315,5390
81500,11206,6096,5305
82000,11017,6177,5237
82500,11302,6344,5171
83000,11328,6485,5300
83500,11377,6438,5206
84000,11441,6218,5437
84500,11476,6357,5567
85000,11461,6670,5420
85500,11526,6618,5506
86000,11520,6422,5571
86500,11699,6484,5691
87000,11750,6469,5574
87500,11754,6849,5566
88000,12078,6698,5853
88500,11933,6784,6123
89000,11793,6877,5461
89500,12147,6811,5665
90000,12278,6866,5679
90500,12243,6947,5882
91000,12251,7092,5786
91500,12319,6978,6072
92000,12527,7265,5887
92500,12692,7201,5875
93000,12526,7211,5923
93500,12617,7127,5952
94000,12790,7424,5973
94500,12808,7252,6166
95000,12876,7501,6168
95500,13036,7376,5985
96000,12862,7418,5971
96500,13010,7639,6113
97000,13079,7848,6004
97500,13003,7773,6205
98000,13276,8421,6188
98500,13414,7717,6207
99000,13322,7773,6376
99500,13563,7902,6418
100000,13477,7784,6352
