N,random,reverse,almost
500,36,21,20
1000,81,48,40
1500,127,81,62
2000,181,106,87
2500,232,132,115
3000,281,168,134
3500,337,206,154
4000,401,232,187
4500,454,262,229
5000,519,284,242
5500,576,319,265
6000,624,362,291
6500,674,410,310
7000,770,444,334
7500,790,478,375
8000,862,487,420
8500,933,546,479
9000,990,540,480
9500,1062,586,509
10000,1106,626,574
10500,1168,657,552
11000,1222,694,601
11500,1283,734,617
12000,1360,778,631
12500,1460,818,661
13000,1478,855,681
13500,1560,900,717
14000,1596,946,731
14500,1655,987,758
15000,1722,1049,792
15500,1784,1060,832
16000,1911,1054,900
16500,1977,1044,1015
17000,2138,1076,919
17500,2052,1156,994
18000,2120,1212,962
18500,2159,1201,1000
19000,2262,1270,1087
19500,2323,1197,1055
20000,2309,1308,1153
20500,2382,1353,1170
21000,2469,1404,1122
21500,2587,1457,1206
22000,2596,1440,1155
22500,2640,1555,1251
23000,2745,1606,1261
23500,2809,1608,1342
24000,2875,1743,1285
24500,2903,1719,1370
25000,3005,1766,1418
25500,3184,1904,1416
26000,3184,1846,1469
26500,3269,1854,1498
27000,3356,1955,1469
27500,3434,2093,1558
28000,3625,2078,1474
28500,3459,2106,1641
29000,3455,2269,1595
29500,3661,2195,1638
30000,3624,2174,1647
30500,3790,2104,1671
31000,3778,2344,1767
31500,3735,2244,1773
32000,4024,2233,1882
32500,4067,2260,1981
33000,4145,2279,2048
33500,4295,2380,2088
34000,4448,2400,2006
34500,4492,2391,2080
35000,4543,2522,2106
35500,4600,2526,2220
36000,4595,2577,2155
36500,4538,2470,2137
37000,4689,2529,2134
37500,4757,2687,2239
38000,5526,2971,2811
38500,5029,8554,5998
39000,5151,2965,2324
39500,5050,2781,2520
40000,5066,2832,2330
40500,5065,2887,2520
41000,5306,2860,2403
41500,5120,2913,2431
42000,5351,2957,2629
42500,5442,3142,2577
43000,5372,3087,2682
43500,5522,3126,2622
44000,5438,3150,2712
44500,5603,3140,2714
45000,5859,3178,2780
45500,5911,3246,2750
46000,5915,3419,2701
46500,5841,3470,2776
47000,6172,3693,2811
47500,6115,3508,2898
48000,6214,3551,2866
48500,6272,3591,2918
49000,6366,3702,2913
49500,6453,3712,2866
50000,6480,4016,2912
50500,6564,3656,3168
51000,6681,3733,3071
51500,6748,3916,3061
52000,6705,3906,3073
52500,6636,3885,3136
53000,6888,4040,3354
53500,6932,4045,3428
54000,7046,4047,3132
54500,6981,4207,3215
55000,7155,4137,3277
55500,7236,4131,3273
56000,7090,4291,3263
56500,7218,4358,3334
57000,7362,4433,3404
57500,7354,4426,3295
58000,7541,4519,3386
58500,7666,4444,3568
59000,7744,4671,3483
59500,7662,4720,3384
60000,7896,4715,3703
60500,7556,4627,3562
61000,7729,4854,3658
61500,7891,4826,3499
62000,7885,4731,3751
62500,7888,4751,3752
63000,8261,4734,3853
63500,8281,4629,3764
64000,8599,4837,4192
64500,8248,4684,4109
65000,8518,4520,4079
65500,8558,4705,4169
66000,8797,5003,4313
66500,8669,4713,4408
67000,8776,4715,4299
67500,9199,5018,4422
68000,8962,4888,4373
68500,9093,4889,4384
69000,9398,5028,4373
69500,9482,5238,4219
70000,9317,5145,4466
70500,9306,5311,4292
71000,9424,5131,4523
71500,9347,5304,4508
72000,9919,5244,4669
72500,9381,5637,4603
73000,9786,5428,4677
73500,9775,5633,4684
74000,9753,5479,4968
74500,9893,5340,4870
75000,10202,5536,4772
75500,10322,5579,4970
76000,10057,5512,5035
76500,9988,5609,4795
77000,10347,5730,4946
77500,10586,5830,4953
78000,10708,5881,5115
78500,10730,5895,5206
79000,10244,6025,4916
79500,10565,6198,5077
80000,10748,5901,5093
80500,10833,6029,5003
81000,10738,6297,5149
81500,10883,6092,5436
82000,10997,5980,5081
82500,10880,6375,5260
83000,10952,6269,5361
83500,11232,6163,5511
84000,11174,6198,5415
84500,11086,6575,5430
85000,11215,6526,5542
85500,11595,6528,5440
86000,11762,6622,5668
86500,11768,6364,5520
87000,11820,6450,5532
87500,11737,6711,5774
88000,12164,6827,5446
88500,11654,6770,5457
89000,11825,6725,5618
89500,12189,6789,5634
90000,12093,6755,5682
90500,11814,6856,5922
91000,12298,7029,5804
91500,12316,7029,5885
92000,12494,7222,5815
92500,12617,7249,5933
93000,12680,7037,5982
93500,12668,7329,6086
94000,12522,7125,5947
94500,12766,7167,6104
95000,12962,7311,6180
95500,13101,7642,6325
96000,13146,7494,6150
96500,12805,7467,6256
97000,12873,7624,6207
97500,13248,8059,6354
98000,13298,7609,6187
98500,13564,7739,6386
99000,12976,7545,6373
99500,13419,7548,6293
100000,13458,7770,6936
