N,random,reverse,almost
500,32,20,24
1000,76,50,38
1500,128,80,54
2000,179,110,78
2500,249,155,113
3000,286,170,125
3500,325,212,143
4000,388,229,180
4500,452,246,210
5000,511,294,247
5500,562,322,255
6000,622,365,283
6500,680,416,307
7000,726,444,321
7500,797,496,353
8000,867,494,389
8500,936,518,432
9000,992,564,475
9500,1046,585,485
10000,1106,623,508
10500,1173,660,530
11000,1222,704,559
11500,1290,746,580
12000,1211,752,606
12500,1416,791,619
13000,1425,863,650
13500,1530,925,676
14000,1609,955,695
14500,1623,1007,722
15000,1755,1049,752
15500,1781,1082,784
16000,1869,1040,856
16500,1968,1076,905
17000,2153,1115,998
17500,2082,1114,975
18000,2174,1149,1028
18500,2245,1196,1016
19000,2288,1252,1064
19500,2347,1271,1101
20000,2412,1305,1109
20500,2572,1383,1126
21000,2563,1387,1153
21500,2643,1452,1170
22000,2673,1556,1243
22500,2720,1607,1232
23000,2798,1600,1244
23500,2916,1738,1324
24000,2916,1650,1348
24500,2977,1682,1362
25000,3077,1744,1407
25500,3109,1862,1457
26000,3209,1950,1418
26500,3272,1879,1484
27000,3363,1900,1562
27500,3442,1993,1494
28000,3479,1996,1521
28500,3515,2044,1609
29000,3569,2112,1600
29500,3634,2156,1610
30000,3733,2187,1656
30500,3785,2227,1687
31000,3868,2269,1745
31500,3952,2248,1772
32000,4065,2373,1850
32500,4148,2227,1905
33000,4244,2230,1960
33500,4321,2277,2042
34000,4368,2435,1997
34500,4524,2523,2148
35000,4493,2433,2092
35500,4570,2440,2136
36000,4635,2608,2113
36500,4712,2503,2189
37000,4750,2562,2171
37500,4821,2587,2249
38000,4918,2661,2266
38500,4987,2624,2226
39000,4963,2863,2385
39500,5015,2830,2671
40000,5152,2894,2504
40500,5253,2910,2574
41000,5077,2925,2429
41500,5255,2940,2647
42000,5357,3232,2445
42500,5389,2994,2506
43000,5454,3016,2795
43500,5419,3191,2660
44000,5548,3191,2606
44500,5753,3272,2772
45000,5814,3327,2797
45500,5896,3505,2887
46000,5987,3341,2882
46500,6029,3448,2691
47000,6003,3483,2804
47500,6121,3445,2758
48000,6186,3530,2885
48500,6288,3566,2938
49000,6431,3681,2923
49500,6419,3648,2913
50000,6478,3504,2987
50500,6432,3742,3057
51000,6577,3817,3040
51500,6724,3863,3026
52000,6728,3859,3055
52500,6825,3904,3140
53000,6920,3974,3108
53500,6985,4093,3250
54000,7073,4063,3191
54500,7131,4187,3227
55000,7142,4180,3226
55500,7255,4203,3280
56000,7244,4341,3305
56500,7196,4455,3540
57000,7287,4452,3607
57500,7494,4513,3612
58000,7676,4813,3486
58500,7529,4468,3564
59000,7557,4594,3568
59500,7811,4620,3713
60000,7771,4641,3527
60500,7930,4698,3701
61000,7837,4751,3692
61500,8081,4763,3509
62000,8124,4686,3623
62500,8180,4898,4030
63000,8251,4955,3902
63500,8374,4738,3861
64000,8403,4728,4012
64500,8535,4822,4026
65000,8598,4843,4358
65500,8731,4712,4254
66000,8969,4734,4219
66500,8795,4796,4619
67000,8910,4839,4163
67500,9128,4909,4318
68000,9155,5017,4423
68500,9274,4875,4757
69000,9164,5022,4421
69500,9307,5091,4528
70000,9251,5039,4693
70500,9510,4979,4449
71000,9660,5224,4560
71500,9629,5204,4750
72000,9698,5254,4508
72500,9801,5267,4856
73000,9881,5344,4618
73500,9979,5390,4717
74000,10014,5467,4695
74500,11354,5941,4989
75000,14808,5698,4821
75500,10387,5611,4880
76000,10321,5710,5220
76500,10274,5670,4878
77000,10584,5731,4969
77500,10540,5695,4980
78000,10660,5745,4871
78500,10467,5810,5182
79000,10896,5946,5054
79500,10733,5948,5105
80000,10747,5915,5144
80500,11011,6149,5380
81000,11016,5923,5277
81500,10895,6076,5391
82000,11052,6328,5332
82500,11206,6270,5612
83000,11358,6251,5380
83500,11243,6308,5254
84000,11252,6407,5517
84500,11340,6434,5481
85000,11485,6399,5449
85500,11808,6465,5371
86000,11593,6489,5561
86500,11534,6578,5532
87000,11792,6660,5447
87500,11725,6861,5460
88000,11876,6705,5683
88500,12126,6826,5647
89000,12024,6758,5841
89500,12190,6941,5741
90000,12327,7100,5949
90500,12200,7112,5896
91000,12419,7034,5817
91500,12442,7163,5840
92000,12611,6951,5862
92500,12423,7418,5886
93000,12772,7139,6017
93500,12823,7588,5908
94000,12795,7217,5943
94500,12929,7416,6037
95000,12968,7433,6155
95500,13225,7555,6178
96000,13248,7908,6188
96500,12901,7675,6136
97000,13202,7695,6049
97500,13086,7633,6118
98000,13431,7659,6273
98500,13562,7766,6509
99000,13481,7534,6302
99500,13560,7720,6478
100000,13369,7763,6408
