N,random,reverse,almost
500,38,20,16
1000,81,49,41
1500,129,75,59
2000,180,112,86
2500,235,136,109
3000,288,174,132
3500,328,207,156
4000,409,231,185
4500,455,250,220
5000,500,305,235
5500,558,323,257
6000,632,374,281
6500,689,381,282
7000,702,436,306
7500,768,468,354
8000,883,483,405
8500,914,502,450
9000,976,537,460
9500,1102,583,521
10000,1192,611,488
10500,1104,635,537
11000,1240,674,555
11500,1273,745,578
12000,1374,853,612
12500,1397,811,625
13000,1489,853,678
13500,1539,936,685
14000,1616,1009,732
14500,1531,960,733
15000,1673,1037,788
15500,1741,1080,865
16000,1895,957,834
16500,1931,1035,921
17000,2024,1091,964
17500,2184,1114,947
18000,2250,1249,1055
18500,2174,1195,1029
19000,2340,1220,1012
19500,2311,1276,1131
20000,2377,1353,1180
20500,2457,1409,1145
21000,2540,1459,1168
21500,2623,1484,1314
22000,2655,1530,1249
22500,2726,1616,1286
23000,2776,1631,1350
23500,2856,1675,1394
24000,2905,1694,1354
24500,2976,1715,1445
25000,2919,1757,1487
25500,3095,1840,1449
26000,3123,1888,1449
26500,3208,1928,1497
27000,3299,2017,1488
27500,3371,1933,1479
28000,3390,1982,1568
28500,3463,2091,1550
29000,3564,2120,1634
29500,3619,2232,1645
30000,3646,2142,1657
30500,3668,2257,1720
31000,3750,2167,1681
31500,3881,2297,1791
32000,3999,2232,2001
32500,4122,2199,1787
33000,4103,2296,1905
33500,4192,2310,1996
34000,4373,2387,2268
34500,4407,2311,2096
35000,4379,2413,2162
35500,4515,2435,2269
36000,4525,2490,2154
36500,4603,2680,2117
37000,4671,2645,2238
37500,4575,2614,2255
38000,4848,2699,2210
38500,4830,2645,2336
39000,4818,2801,2283
39500,5046,2768,2345
40000,5079,2834,2392
40500,5185,3042,2396
41000,5151,2894,2409
41500,5314,2927,2444
42000,5240,3078,2570
42500,5733,2984,2495
43000,5391,3038,2526
43500,5583,3187,2545
44000,5650,3176,2549
44500,5623,3242,2619
45000,5743,3214,2751
45500,5773,3334,2630
46000,5688,3341,3060
46500,5952,3363,2792
47000,5853,3435,2873
47500,5912,3467,2851
48000,6169,3486,2873
48500,6314,3547,2881
49000,6129,3615,3097
49500,6154,3577,3073
50000,6242,3655,3067
50500,6437,3709,2976
51000,6361,3853,3021
51500,6475,3815,3129
52000,6761,4136,3223
52500,6694,3901,3004
53000,6839,3980,3088
53500,6845,4001,3078
54000,6998,4120,3130
54500,7140,3979,3182
55000,7002,4175,3207
55500,7080,4207,3274
56000,6969,4272,3456
56500,7456,4546,3333
57000,7415,4327,3345
57500,7480,4354,3342
58000,7437,4410,3487
58500,7411,4741,3584
59000,7661,4568,3387
59500,7770,4635,3648
60000,7976,4742,3677
60500,8038,5054,3630
61000,8075,4804,3541
61500,8173,4689,3648
62000,8001,4977,3922
62500,8317,4936,3691
63000,8449,4981,4029
63500,8526,4823,3891
64000,8529,4821,4059
64500,8737,4710,4214
65000,8517,4707,4103
65500,8844,4778,4394
66000,8956,4816,4179
66500,8672,4932,4355
67000,8976,4923,4264
67500,9135,4915,4416
68000,9272,4942,4259
68500,9313,4973,4404
69000,9304,4905,4358
69500,9206,5044,4444
70000,9368,5104,4518
70500,9355,5152,4645
71000,9457,5285,4659
71500,9469,5272,4740
72000,9689,5259,4675
72500,9674,5308,4632
73000,9916,5204,4656
73500,9780,5365,4904
74000,10004,5359,4742
74500,9978,5725,5013
75000,10075,5669,4753
75500,10165,5560,4836
76000,10330,5709,5042
76500,10497,5665,4865
77000,10580,5993,4984
77500,10563,5800,5114
78000,10375,5718,5220
78500,10675,5793,5019
79000,10659,5860,4997
79500,10625,5901,5097
80000,10798,6116,5241
80500,10720,5968,5104
81000,11006,6309,5401
81500,11051,6066,5108
82000,11173,6105,5236
82500,11182,6166,5181
83000,11230,6329,5217
83500,11331,6279,5739
84000,11397,6334,5239
84500,11496,6352,5381
85000,11567,6481,5426
85500,11709,6528,5364
86000,11665,6502,5434
86500,11770,6653,5452
87000,11836,6606,5658
87500,11889,6694,5677
88000,11948,6760,5547
88500,12071,6672,5626
89000,12091,6736,5682
89500,12185,6846,5686
90000,12184,6791,5664
90500,12287,6911,5975
91000,12351,6934,6063
91500,12456,6997,5793
92000,12534,7028,5786
92500,12723,7098,5802
93000,12668,7120,6219
93500,12599,7396,6061
94000,12669,7246,6230
94500,12822,7421,6214
95000,12903,7314,6616
95500,12967,7374,6232
96000,13107,7727,6188
96500,13157,7515,6443
97000,13314,7419,6140
97500,13207,7592,6313
98000,13111,7533,6357
98500,13266,7794,6325
99000,13429,7870,6205
99500,13472,7933,6240
100000,13250,7825,6399
